Class%,Class_label,Encapsulation%,Encapsulation_label,Inheritance%,Inheritance_label,Polymorphism%,Polymorphism_label,Constructor%,Constructor_label,Interface%,Interface_label
50.53,Intermediate,9.09,Beginner,37.29,Intermediate,14.8,Beginner,28.9,Beginner,30.69,Advanced
29.83,Beginner,52.01,Intermediate,66.69,Advanced,3.21,Beginner,72.23,Advanced,43.02,Intermediate
56.91,Intermediate,26.94,Beginner,89.59,Advanced,37.8,Intermediate,7.31,Beginner,70.86,Beginner
73.35,Advanced,21.4,Beginner,30.82,Intermediate,48.56,Intermediate,29.03,Beginner,44.9,Intermediate
36.52,Intermediate,18.94,Beginner,66.6,Advanced,67.21,Advanced,31.41,Intermediate,85.24,Advanced
26.21,Beginner,27.49,Beginner,53.53,Intermediate,13.31,Beginner,70.97,Intermediate,9.88,Beginner
21.29,Beginner,28.11,Beginner,35.01,Intermediate,94.38,Advanced,85.17,Advanced,100,Advanced
30.33,Intermediate,9.76,Beginner,47.87,Intermediate,65.74,Advanced,66.19,Advanced,29.37,Beginner
65.49,Advanced,46.14,Intermediate,12.14,Beginner,65.36,Advanced,37,Intermediate,69.81,Advanced
16.27,Beginner,34.79,Intermediate,9.85,Beginner,39.18,Intermediate,77.48,Advanced,72.38,Advanced
6.79,Beginner,97.25,Advanced,28.45,Beginner,71.13,Advanced,74.43,Advanced,38.77,Intermediate
19.86,Beginner,46.33,Intermediate,62.21,Advanced,14.53,Beginner,76.97,Advanced,11.66,Beginner
65.65,Advanced,54.53,Intermediate,57.07,Intermediate,28.24,Beginner,54.29,Intermediate,79.72,Advanced
22.5,Intermediate,43.69,Intermediate,31.49,Intermediate,81.84,Advanced,65.44,Advanced,97.3,Advanced
64.01,Advanced,54.04,Intermediate,82.83,Advanced,29.58,Beginner,65.1,Advanced,33.05,Intermediate
56.25,Intermediate,24.17,Beginner,35.97,Intermediate,65.43,Advanced,15.17,Beginner,33.14,Intermediate
55.18,Intermediate,65.85,Advanced,54.38,Intermediate,57.63,Intermediate,42.82,Intermediate,5.01,Beginner
83.99,Advanced,16.43,Beginner,26.79,Beginner,60.26,Beginner,24.4,Beginner,15.09,Beginner
11.45,Beginner,24.02,Beginner,23.41,Beginner,29.48,Beginner,35.56,Intermediate,34.51,Intermediate
61.73,Advanced,53.2,Intermediate,70.36,Advanced,19.54,Beginner,64.61,Advanced,90.96,Advanced
92.57,Advanced,66.59,Advanced,19.98,Beginner,53.58,Intermediate,60.8,Advanced,67.76,Advanced
34.31,Intermediate,72.75,Advanced,21.77,Beginner,44.37,Advanced,78.39,Advanced,23.72,Beginner
86.42,Advanced,50.07,Intermediate,78.17,Advanced,31.02,Intermediate,22.75,Beginner,29.73,Beginner
52.96,Intermediate,37.34,Intermediate,41.77,Intermediate,25.67,Beginner,32.69,Intermediate,16.01,Beginner
23.86,Beginner,43.58,Intermediate,63.86,Advanced,86.16,Advanced,31.98,Intermediate,9.43,Beginner
42.95,Intermediate,21.02,Beginner,10.65,Beginner,11.16,Beginner,88.97,Advanced,43.02,Intermediate
18.28,Beginner,21.63,Beginner,68.38,Advanced,70.45,Advanced,18.59,Beginner,26.08,Beginner
57.03,Intermediate,63.36,Advanced,79.56,Advanced,46.04,Intermediate,60.35,Advanced,78,Advanced
1.24,Beginner,56.52,Intermediate,58.47,Intermediate,53.82,Intermediate,88.81,Advanced,2.62,Intermediate
75.87,Advanced,81.07,Advanced,17.87,Beginner,0,Beginner,11.8,Advanced,50.7,Intermediate
66.25,Advanced,46.44,Intermediate,59.7,Intermediate,33.25,Intermediate,62.71,Advanced,29.01,Beginner
58.78,Intermediate,23.86,Beginner,19.14,Beginner,4.56,Beginner,59.45,Intermediate,60.85,Advanced
82.5,Advanced,49.07,Intermediate,100,Advanced,72.13,Advanced,55.86,Intermediate,14.09,Beginner
23.28,Beginner,91.93,Advanced,49.98,Intermediate,48.81,Intermediate,52.54,Beginner,70.18,Advanced
42.88,Intermediate,65,Advanced,100,Advanced,64.15,Advanced,13.72,Beginner,29.19,Beginner
33.13,Intermediate,26.73,Beginner,100,Advanced,67.77,Advanced,28.59,Beginner,61.5,Advanced
67.13,Advanced,51.55,Intermediate,48.68,Intermediate,55.72,Intermediate,68.77,Advanced,6.33,Beginner
20.01,Beginner,23.54,Beginner,50.83,Advanced,59.99,Intermediate,13.48,Beginner,25.2,Beginner
38.44,Intermediate,95.43,Advanced,28.56,Beginner,14.61,Beginner,79.21,Advanced,14.49,Beginner
36.53,Intermediate,82.12,Advanced,27.84,Beginner,9.04,Beginner,48.05,Intermediate,15.28,Beginner
69.1,Advanced,67.11,Advanced,38.43,Intermediate,41.56,Intermediate,31.1,Intermediate,23.21,Beginner
19.62,Beginner,64.42,Advanced,92.62,Advanced,46.49,Intermediate,46.67,Intermediate,41.47,Intermediate
29.3,Beginner,85.15,Advanced,87.14,Beginner,25.82,Beginner,39.8,Intermediate,85.05,Advanced
20.06,Beginner,45.82,Intermediate,42.76,Intermediate,56.82,Intermediate,90.43,Advanced,57.95,Intermediate
41.6,Intermediate,61.16,Advanced,4.24,Beginner,64.99,Advanced,90.27,Advanced,52.94,Intermediate
15.43,Beginner,45.41,Intermediate,31.96,Intermediate,68.86,Advanced,83.31,Advanced,52.7,Intermediate
62,Advanced,75.11,Advanced,50.59,Intermediate,17.59,Beginner,26.84,Beginner,61.46,Advanced
34.99,Intermediate,58.89,Intermediate,90.36,Advanced,0,Beginner,53.75,Intermediate,84.47,Advanced
60.04,Advanced,34.22,Intermediate,63.03,Beginner,21.87,Beginner,42.24,Intermediate,61.73,Advanced
40.5,Intermediate,49.05,Intermediate,29.43,Beginner,73.58,Intermediate,52.88,Intermediate,75.72,Advanced
56.57,Intermediate,40.37,Intermediate,10.43,Beginner,75.36,Advanced,36.48,Intermediate,45.43,Intermediate
19.07,Beginner,11.89,Beginner,57.16,Intermediate,89.78,Advanced,53.63,Intermediate,70.81,Beginner
69.17,Advanced,62.98,Advanced,79.34,Advanced,72.67,Advanced,14.29,Beginner,66.26,Advanced
86.93,Advanced,5.41,Beginner,46.61,Intermediate,53.8,Advanced,80.45,Advanced,37.73,Intermediate
68.13,Advanced,15.65,Beginner,23.04,Beginner,16.4,Beginner,26.65,Beginner,75.56,Advanced
91.11,Intermediate,74.61,Advanced,8.69,Beginner,50.04,Intermediate,97.93,Advanced,68.32,Advanced
28.76,Beginner,78.56,Advanced,20.65,Beginner,37.27,Intermediate,40.02,Intermediate,79.16,Advanced
60.42,Advanced,82.94,Advanced,8.21,Advanced,34,Intermediate,95.42,Advanced,13.82,Beginner
59.69,Intermediate,98.33,Advanced,100,Advanced,68.08,Beginner,26.95,Beginner,69.21,Advanced
35.77,Intermediate,31.29,Intermediate,41.74,Intermediate,33.95,Intermediate,93.31,Advanced,35.78,Intermediate
21.69,Beginner,0,Beginner,58.22,Intermediate,9.4,Beginner,9.79,Beginner,62.11,Advanced
33.68,Intermediate,69.8,Advanced,49.23,Intermediate,30.21,Intermediate,71.2,Advanced,15.13,Beginner
76.76,Advanced,50.78,Intermediate,21.33,Beginner,53.14,Intermediate,41.57,Intermediate,47.99,Intermediate
80.05,Advanced,9.71,Beginner,30.99,Intermediate,53.01,Intermediate,33.61,Intermediate,16.48,Beginner
12.83,Beginner,10.77,Beginner,41.09,Intermediate,8.26,Intermediate,55.16,Intermediate,78.35,Advanced
7.73,Beginner,52.62,Intermediate,93.3,Advanced,35.89,Intermediate,86.07,Advanced,10.49,Beginner
10.57,Beginner,18.98,Beginner,22.42,Beginner,29.57,Beginner,63.25,Advanced,48.46,Intermediate
25.01,Beginner,17.73,Beginner,31.85,Intermediate,5.15,Beginner,77.48,Advanced,9.43,Beginner
92.73,Advanced,39.9,Intermediate,27.82,Beginner,47.23,Intermediate,16.95,Beginner,88.19,Advanced
13.75,Beginner,58.81,Intermediate,26.08,Beginner,31.77,Intermediate,55.53,Intermediate,50.34,Intermediate
71.65,Advanced,42.39,Intermediate,26.77,Beginner,53.46,Intermediate,0.65,Beginner,60.08,Advanced
18.43,Beginner,46.92,Intermediate,38.35,Intermediate,100,Advanced,82.23,Advanced,55.74,Intermediate
51.36,Intermediate,62.04,Advanced,32.3,Intermediate,86.7,Advanced,93.73,Beginner,63.35,Advanced
0.48,Beginner,54.1,Intermediate,48.78,Intermediate,22.26,Beginner,25.32,Beginner,62.22,Advanced
33.97,Intermediate,59.45,Intermediate,26.36,Advanced,25.99,Beginner,80.44,Advanced,55.73,Intermediate
47.25,Intermediate,26.15,Beginner,73.38,Advanced,70.72,Advanced,27.11,Beginner,72.43,Advanced
54.9,Intermediate,15.07,Beginner,28.32,Advanced,38.51,Intermediate,27.77,Beginner,27.24,Beginner
81.58,Advanced,74.08,Advanced,73.04,Advanced,77.97,Advanced,91.21,Advanced,14.54,Beginner
15.85,Beginner,20.75,Beginner,77.88,Advanced,23.8,Beginner,60.51,Advanced,18.72,Beginner
50.6,Intermediate,0.65,Beginner,42.31,Intermediate,36.67,Intermediate,76.63,Advanced,53.53,Intermediate
34.83,Intermediate,26.72,Beginner,41.72,Intermediate,34.04,Intermediate,93.55,Advanced,48.45,Intermediate
94.42,Advanced,70.63,Advanced,8.9,Beginner,29.79,Beginner,52.73,Intermediate,34.73,Intermediate
25.43,Beginner,20.58,Beginner,21.24,Beginner,62.98,Advanced,30.22,Intermediate,2.11,Beginner
25.33,Beginner,36.45,Intermediate,26.79,Beginner,33.23,Intermediate,54.15,Intermediate,54.93,Intermediate
21.67,Beginner,37.39,Intermediate,2.26,Beginner,98.92,Intermediate,20.77,Beginner,15.7,Beginner
6.16,Beginner,76.91,Advanced,49.18,Intermediate,56.76,Intermediate,31.63,Intermediate,70.04,Advanced
65.3,Advanced,13.91,Beginner,62.47,Advanced,67.08,Advanced,90.34,Advanced,68.06,Advanced
28.06,Beginner,56.29,Intermediate,9.11,Intermediate,36.59,Intermediate,9.54,Beginner,86.48,Advanced
34.88,Intermediate,25.78,Beginner,92.85,Intermediate,57.53,Intermediate,53.63,Intermediate,31.42,Intermediate
49.89,Intermediate,48.47,Intermediate,11.99,Beginner,34.3,Intermediate,55.53,Intermediate,46.98,Intermediate
43.36,Intermediate,30.43,Intermediate,30.42,Intermediate,75.15,Advanced,20.54,Beginner,52.11,Beginner
1.71,Beginner,54.51,Intermediate,29.55,Intermediate,36.15,Intermediate,36.38,Intermediate,80.66,Advanced
20.12,Beginner,60.8,Advanced,33.7,Intermediate,58.77,Intermediate,37.04,Intermediate,36.06,Beginner
27.42,Advanced,43.84,Intermediate,90.46,Advanced,11.36,Beginner,54.7,Intermediate,37.03,Intermediate
70.89,Advanced,29.9,Beginner,77.63,Intermediate,72.49,Advanced,43.15,Intermediate,46.41,Intermediate
31.28,Intermediate,11.04,Beginner,14.22,Beginner,50.62,Intermediate,13.26,Beginner,30.79,Intermediate
100,Advanced,96.22,Advanced,14.11,Beginner,82.52,Advanced,32.27,Intermediate,43.83,Intermediate
69.3,Advanced,28.09,Beginner,11.71,Beginner,82.77,Advanced,81.72,Advanced,91.94,Advanced
52.67,Intermediate,30.76,Intermediate,28.62,Beginner,64.22,Advanced,5.69,Beginner,6.27,Beginner
38.33,Intermediate,12.32,Beginner,77.59,Intermediate,40.96,Intermediate,20.62,Beginner,31.01,Intermediate
29.7,Beginner,88.94,Advanced,15.57,Beginner,36.12,Intermediate,13.87,Beginner,7.67,Beginner
75.39,Advanced,22.66,Beginner,75.79,Advanced,98.29,Advanced,9.26,Beginner,47.68,Intermediate
59.21,Intermediate,26.99,Beginner,20.78,Beginner,32.07,Intermediate,51.07,Beginner,80.55,Advanced
83.43,Advanced,15.49,Beginner,30.28,Intermediate,65.31,Advanced,17.43,Beginner,31.11,Intermediate
33.31,Intermediate,63.28,Advanced,17.53,Beginner,14.94,Beginner,79.28,Advanced,25.19,Beginner
81.97,Advanced,13.65,Beginner,18.85,Beginner,24.72,Beginner,25.16,Beginner,91.97,Advanced
53.89,Intermediate,100,Advanced,8.64,Beginner,45.78,Intermediate,8.43,Beginner,43.25,Intermediate
96.68,Advanced,5.55,Beginner,5.71,Beginner,35.89,Intermediate,100,Advanced,82.35,Advanced
60.53,Advanced,69.26,Advanced,34.59,Intermediate,40.34,Intermediate,54.05,Intermediate,6.58,Beginner
35.47,Intermediate,46.04,Intermediate,36.12,Intermediate,90.04,Advanced,60.23,Advanced,12.19,Beginner
37.19,Intermediate,32.44,Intermediate,46.98,Intermediate,78.45,Beginner,21.71,Beginner,60.42,Advanced
49.04,Intermediate,97.73,Advanced,42.55,Advanced,90.57,Advanced,14.48,Beginner,18.45,Beginner
58.39,Intermediate,4.05,Intermediate,70.37,Advanced,10.82,Beginner,66.6,Advanced,43.64,Intermediate
53.78,Intermediate,56.12,Intermediate,74.16,Advanced,43.59,Intermediate,62.45,Advanced,5.85,Beginner
44,Intermediate,100,Advanced,90.11,Advanced,67.85,Advanced,1.58,Intermediate,100,Advanced
18.28,Beginner,58.2,Intermediate,36,Intermediate,23,Beginner,61.6,Advanced,8.14,Beginner
54.4,Intermediate,27.24,Beginner,41.68,Intermediate,20.87,Beginner,64.71,Advanced,33.33,Intermediate
69.98,Advanced,8.42,Beginner,59.4,Intermediate,56.96,Intermediate,11.96,Beginner,6.41,Beginner
81.3,Advanced,63.1,Advanced,18.68,Beginner,28.43,Beginner,55.99,Intermediate,18.87,Beginner
73.25,Advanced,15.27,Beginner,17.5,Beginner,76.19,Advanced,53.22,Intermediate,24.36,Beginner
5.57,Advanced,91.57,Advanced,26.06,Beginner,87.36,Advanced,44.57,Intermediate,6.92,Beginner
50.85,Intermediate,66.56,Advanced,82.6,Advanced,61.91,Advanced,4.89,Beginner,20.31,Beginner
14.97,Beginner,29.98,Beginner,23.48,Beginner,65.37,Advanced,63.82,Advanced,67.38,Advanced
0.75,Beginner,66.09,Advanced,64.08,Advanced,8.12,Beginner,30.53,Intermediate,61.93,Advanced
32.86,Intermediate,33.4,Intermediate,82.99,Advanced,30.9,Intermediate,100,Advanced,10.1,Beginner
51.46,Intermediate,23.17,Beginner,35.86,Intermediate,74.87,Advanced,56.48,Intermediate,60.3,Advanced
33.02,Intermediate,64.84,Advanced,69.96,Advanced,61.3,Advanced,84.95,Advanced,15.32,Beginner
51.08,Intermediate,52.1,Intermediate,96.95,Advanced,17.6,Beginner,60.16,Intermediate,67.61,Advanced
67.36,Advanced,59.27,Intermediate,65.67,Advanced,51.34,Intermediate,100,Advanced,33.92,Intermediate
16.24,Beginner,27.26,Beginner,80.87,Advanced,79.54,Advanced,65.48,Advanced,80.23,Beginner
3.88,Beginner,14.99,Beginner,32.02,Intermediate,55.62,Intermediate,72.63,Advanced,50.6,Intermediate
82.04,Advanced,70.21,Advanced,84.47,Advanced,35.06,Intermediate,53.34,Intermediate,60.41,Advanced
62.82,Advanced,35.16,Intermediate,14.12,Beginner,69.06,Advanced,23.43,Beginner,28.32,Beginner
60.84,Advanced,53.49,Beginner,25.95,Beginner,66.31,Advanced,28.66,Beginner,0,Beginner
23.26,Beginner,22.56,Beginner,92.6,Advanced,31.08,Intermediate,78.33,Advanced,55.49,Intermediate
95.92,Advanced,67.09,Advanced,81.63,Advanced,48.31,Intermediate,75.14,Advanced,69.19,Advanced
21.85,Beginner,19.52,Beginner,51.79,Intermediate,63.67,Advanced,17.67,Beginner,90.72,Advanced
46.7,Beginner,78.13,Advanced,85.75,Advanced,42.55,Intermediate,9.74,Beginner,2.05,Beginner
10.43,Beginner,27.05,Beginner,96.38,Advanced,38.59,Intermediate,58.32,Intermediate,77.03,Intermediate
10,Beginner,58.01,Intermediate,41.81,Intermediate,8.37,Beginner,62.77,Advanced,64.28,Advanced
45.17,Intermediate,95.7,Advanced,20.47,Beginner,11.08,Beginner,27.26,Beginner,56.11,Intermediate
48.36,Intermediate,61.21,Advanced,49.88,Intermediate,0,Beginner,45.71,Intermediate,22.61,Beginner
23.74,Beginner,92.67,Advanced,33.73,Intermediate,61.74,Advanced,73.24,Advanced,55.19,Intermediate
65.7,Advanced,33.1,Intermediate,62.56,Intermediate,48.3,Intermediate,88.09,Advanced,11.75,Advanced
83.92,Advanced,5.96,Beginner,81.39,Advanced,9.06,Beginner,21.98,Beginner,12.56,Beginner
86.64,Advanced,29.31,Beginner,88.12,Advanced,55.9,Intermediate,5.37,Beginner,32.6,Beginner
52.2,Intermediate,33.29,Intermediate,4.16,Advanced,16.84,Beginner,35.51,Intermediate,51.53,Intermediate
31.4,Intermediate,25.21,Advanced,52.19,Intermediate,59,Intermediate,33.94,Intermediate,27.63,Beginner
52.64,Intermediate,78.57,Advanced,55.91,Intermediate,77.9,Advanced,62.26,Advanced,10.66,Beginner
30.42,Intermediate,36.51,Intermediate,88.23,Advanced,92.32,Advanced,50.49,Intermediate,14.68,Beginner
3.54,Beginner,31.68,Intermediate,18.94,Beginner,68.46,Advanced,69.3,Advanced,20.82,Beginner
17.57,Beginner,21.71,Beginner,58.38,Intermediate,52.58,Intermediate,11.18,Beginner,11.6,Beginner
49.85,Intermediate,84.23,Advanced,3.41,Beginner,28.34,Beginner,12.63,Advanced,81.24,Advanced
56.15,Beginner,26.26,Beginner,85.01,Advanced,79.84,Advanced,57.16,Beginner,16.37,Beginner
59.53,Advanced,47.18,Intermediate,31.43,Intermediate,1.55,Beginner,37.13,Intermediate,52.3,Intermediate
34.65,Intermediate,12.21,Beginner,24.27,Beginner,69.69,Advanced,82.07,Advanced,30.96,Intermediate
34.48,Intermediate,6.82,Beginner,46.65,Intermediate,22.15,Beginner,32.68,Intermediate,20.58,Beginner
80.29,Advanced,80.32,Advanced,75.94,Advanced,29.41,Beginner,60.01,Advanced,4.84,Beginner
24.25,Beginner,34.73,Intermediate,37.92,Intermediate,81.41,Advanced,68.7,Advanced,35.73,Intermediate
51.56,Intermediate,85.26,Advanced,24.04,Beginner,45.93,Beginner,17.64,Beginner,4.02,Intermediate
42.23,Intermediate,12.82,Beginner,18.76,Beginner,38.34,Intermediate,93.1,Advanced,11.4,Beginner
15.26,Beginner,63.11,Advanced,44.14,Intermediate,32.06,Intermediate,62.83,Advanced,25.22,Beginner
29.86,Beginner,79.09,Advanced,42.26,Intermediate,53.41,Intermediate,23.49,Beginner,28.71,Beginner
53.12,Intermediate,10.4,Beginner,13.32,Beginner,22.58,Beginner,64.11,Advanced,42.49,Intermediate
2.67,Beginner,28.08,Beginner,64.13,Advanced,61.47,Advanced,62.68,Beginner,60.82,Advanced
23.55,Beginner,48.39,Intermediate,71.06,Advanced,62.22,Advanced,89.68,Advanced,82.25,Advanced
92.12,Advanced,16.84,Beginner,54.71,Intermediate,26.48,Beginner,62.22,Advanced,33.73,Intermediate
83.88,Advanced,6.41,Beginner,49.44,Intermediate,87.54,Advanced,64.82,Advanced,15.05,Beginner
56.88,Intermediate,46.11,Intermediate,43.98,Intermediate,70.02,Advanced,28.85,Beginner,37.41,Intermediate
9.77,Beginner,38.68,Intermediate,42.14,Intermediate,34.83,Intermediate,61.44,Advanced,16.36,Beginner
13.26,Beginner,21.42,Beginner,26.62,Beginner,6.96,Beginner,78.8,Advanced,28.44,Beginner
69.99,Advanced,82.4,Advanced,64.09,Advanced,61.94,Advanced,83.08,Advanced,53.59,Intermediate
52.69,Intermediate,47.16,Intermediate,87.51,Advanced,55.24,Intermediate,30.69,Intermediate,43.84,Intermediate
44.2,Intermediate,74.66,Advanced,72.31,Advanced,88.01,Advanced,68.42,Advanced,72.95,Advanced
73.54,Advanced,50.49,Intermediate,43.84,Intermediate,27.35,Beginner,23.76,Beginner,7.76,Beginner
23.42,Beginner,13.67,Beginner,55.5,Intermediate,50.82,Intermediate,62.2,Advanced,53.24,Intermediate
62.82,Advanced,35.56,Intermediate,56.04,Intermediate,47.89,Intermediate,33.48,Intermediate,11.13,Beginner
8.41,Beginner,11.82,Beginner,68.03,Advanced,30.43,Beginner,69.08,Advanced,51.21,Intermediate
55.55,Intermediate,82.64,Intermediate,9.24,Beginner,50.46,Intermediate,92.85,Advanced,26.21,Beginner
34.86,Intermediate,90.9,Advanced,52.26,Intermediate,37.78,Intermediate,12.72,Beginner,26.34,Beginner
29.8,Beginner,53.29,Beginner,57.06,Intermediate,57.2,Intermediate,75.46,Advanced,14.02,Beginner
36.72,Intermediate,68.97,Advanced,56.81,Intermediate,24.2,Beginner,75.73,Advanced,36.09,Intermediate
20.77,Beginner,19.47,Beginner,62.85,Advanced,14.04,Beginner,44.39,Intermediate,74.79,Advanced
99,Advanced,30.43,Intermediate,55.37,Beginner,38.06,Intermediate,14.44,Beginner,57.45,Intermediate
60.32,Beginner,19.74,Beginner,57.21,Intermediate,66.72,Advanced,30.6,Intermediate,18.41,Beginner
25.72,Intermediate,23.46,Beginner,73,Advanced,67.71,Advanced,34.93,Intermediate,64.82,Advanced
51.19,Intermediate,20.39,Beginner,64.77,Advanced,27.88,Beginner,43.35,Beginner,8.5,Beginner
67.42,Advanced,13.67,Beginner,34.97,Intermediate,86.37,Advanced,17.31,Beginner,70.75,Advanced
71.71,Advanced,95.57,Advanced,55.05,Intermediate,18.64,Beginner,31.36,Intermediate,24.82,Beginner
91.15,Advanced,93.74,Advanced,65.3,Advanced,30.73,Intermediate,25.26,Beginner,100,Advanced
30.35,Advanced,3.52,Beginner,50.62,Intermediate,12.93,Beginner,12.07,Beginner,39.16,Intermediate
66.88,Advanced,86.28,Advanced,17.85,Beginner,22.12,Intermediate,21.14,Beginner,53.36,Intermediate
29.52,Beginner,9.8,Beginner,12.92,Beginner,99.24,Advanced,25.78,Beginner,88.88,Advanced
31.08,Intermediate,69.27,Advanced,0,Beginner,88.77,Advanced,33.89,Intermediate,66.03,Advanced
65.82,Advanced,33.76,Intermediate,19.26,Beginner,95.98,Advanced,85.7,Advanced,90.5,Advanced
77.94,Advanced,93.42,Advanced,33.76,Intermediate,23.09,Beginner,45.55,Intermediate,91.92,Advanced
78.96,Advanced,76.93,Advanced,96.65,Advanced,61.76,Advanced,24.57,Beginner,19.72,Beginner
52,Intermediate,56.32,Intermediate,32.67,Intermediate,29.46,Beginner,27.65,Beginner,16.31,Beginner
50.24,Intermediate,28.73,Beginner,58.16,Intermediate,58.85,Intermediate,51.91,Intermediate,80.89,Advanced
32.96,Intermediate,9.94,Beginner,52.78,Intermediate,58.15,Intermediate,26.93,Beginner,20.58,Beginner
76.96,Advanced,84.35,Advanced,68.07,Advanced,97.31,Advanced,64.48,Advanced,48.96,Intermediate
27.57,Beginner,57.84,Intermediate,53.78,Intermediate,24.11,Beginner,69.22,Advanced,32.52,Intermediate
54.76,Intermediate,27.16,Beginner,46.68,Intermediate,80.06,Advanced,17.86,Beginner,27.73,Beginner
29.03,Beginner,14.32,Beginner,92.49,Advanced,88.96,Advanced,45.99,Intermediate,95.7,Advanced
27.73,Beginner,4.8,Beginner,4.39,Beginner,29.61,Beginner,14.58,Beginner,36.41,Intermediate
39.29,Intermediate,58.97,Intermediate,75.77,Advanced,1.45,Beginner,51.92,Intermediate,17.43,Beginner
50.72,Intermediate,79.18,Advanced,55.02,Intermediate,27.85,Beginner,14.61,Beginner,31.69,Intermediate
84.95,Advanced,40.37,Intermediate,21.79,Beginner,8.45,Intermediate,27.08,Beginner,37.56,Intermediate
62.38,Advanced,61.23,Advanced,77.48,Advanced,65.3,Intermediate,21.22,Beginner,83.14,Advanced
82.84,Advanced,70.76,Advanced,41.44,Advanced,17.14,Beginner,25.03,Beginner,7.83,Intermediate
23.29,Beginner,12.36,Beginner,82.22,Advanced,90.63,Advanced,32.86,Intermediate,35.31,Intermediate
33.25,Intermediate,27.13,Beginner,36.19,Intermediate,57.15,Intermediate,65.27,Advanced,48.11,Intermediate
67.57,Advanced,28.97,Beginner,94.55,Advanced,14.42,Beginner,31.17,Intermediate,0,Beginner
56.62,Intermediate,42.6,Intermediate,58.1,Intermediate,2.69,Beginner,65.91,Advanced,43.02,Intermediate
24.19,Beginner,10.64,Beginner,41.36,Intermediate,10.59,Beginner,32.42,Intermediate,72.7,Advanced
95.37,Advanced,59.71,Intermediate,11.73,Beginner,20.23,Beginner,100,Advanced,49.62,Intermediate
47.65,Intermediate,6.43,Beginner,47.66,Intermediate,30.36,Intermediate,43.04,Beginner,18.98,Beginner
20.2,Beginner,74.14,Advanced,8.38,Beginner,67.19,Beginner,25.53,Beginner,27.16,Beginner
63.35,Advanced,91.39,Advanced,63.41,Advanced,39.39,Intermediate,58.63,Intermediate,27.75,Beginner
41.07,Intermediate,88.45,Advanced,66.42,Advanced,85.85,Advanced,26.39,Beginner,60.65,Advanced
36.2,Intermediate,60.13,Advanced,91.49,Advanced,24.47,Beginner,29.89,Beginner,17.55,Beginner
14.34,Beginner,40.8,Intermediate,70.15,Advanced,45.24,Intermediate,88.95,Advanced,53.31,Intermediate
54.02,Intermediate,44.65,Intermediate,59.89,Intermediate,51.94,Intermediate,92.13,Advanced,23.27,Beginner
81.64,Advanced,38.12,Intermediate,35.74,Intermediate,61.27,Advanced,4.01,Beginner,30.12,Intermediate
100,Advanced,14.05,Beginner,40.33,Intermediate,53.4,Intermediate,49.6,Intermediate,61.28,Advanced
63.67,Advanced,17.48,Beginner,77.56,Advanced,100,Advanced,92.71,Advanced,15.28,Beginner
64.5,Beginner,51.41,Intermediate,48.49,Intermediate,20.46,Beginner,46.75,Intermediate,68.78,Advanced
69.94,Advanced,49.65,Intermediate,68.94,Advanced,58.81,Intermediate,45.48,Advanced,86.74,Advanced
58.21,Intermediate,44.53,Intermediate,85.85,Advanced,66.69,Advanced,47.67,Intermediate,70.6,Advanced
34.03,Intermediate,35.94,Intermediate,4.41,Beginner,11.82,Intermediate,25.95,Beginner,56.41,Intermediate
60.06,Advanced,87.51,Advanced,19.8,Beginner,81.59,Advanced,26.11,Beginner,69.75,Advanced
9.79,Beginner,8.06,Beginner,74.48,Advanced,63.91,Advanced,13.48,Beginner,11.54,Beginner
0,Beginner,30.71,Intermediate,16.8,Beginner,19.23,Beginner,66.06,Advanced,67.29,Advanced
43.6,Intermediate,49.93,Intermediate,52.13,Intermediate,96.05,Advanced,49.58,Intermediate,17.24,Beginner
13.89,Beginner,39.15,Intermediate,35.12,Intermediate,100,Advanced,52.31,Intermediate,43.87,Beginner
22.17,Beginner,22.76,Beginner,8.03,Beginner,59.78,Intermediate,67.29,Advanced,82.32,Advanced
66.46,Advanced,92.21,Advanced,31.17,Intermediate,66.04,Advanced,75.4,Advanced,34.5,Intermediate
90.26,Advanced,66.47,Advanced,59.57,Intermediate,48.46,Intermediate,17.31,Beginner,54.64,Intermediate
59.12,Intermediate,10.77,Beginner,31.56,Intermediate,86.98,Advanced,12.98,Beginner,21.07,Beginner
76.62,Advanced,29.6,Beginner,100,Advanced,4.09,Beginner,74.62,Advanced,14.19,Intermediate
67.04,Advanced,34.68,Intermediate,76.82,Advanced,57.6,Intermediate,39.24,Intermediate,18.68,Beginner
73.47,Advanced,61.22,Advanced,17.36,Beginner,56.78,Intermediate,55.83,Intermediate,4.31,Beginner
31.47,Intermediate,52.41,Intermediate,54.52,Intermediate,72.24,Advanced,65.86,Advanced,28.53,Beginner
10.11,Beginner,26.83,Beginner,26.99,Beginner,77.09,Advanced,32.61,Intermediate,53.47,Intermediate
29.18,Beginner,27.38,Beginner,29.93,Beginner,30.9,Intermediate,0,Beginner,37.18,Intermediate
23.54,Beginner,30.54,Intermediate,13.81,Beginner,100,Advanced,41.6,Intermediate,52.11,Advanced
87.14,Advanced,22.26,Beginner,40.26,Intermediate,19.14,Beginner,92.12,Advanced,16.34,Beginner
83.62,Advanced,24.31,Beginner,17.13,Beginner,6.68,Beginner,72.75,Advanced,5.52,Beginner
12.26,Beginner,62.1,Advanced,47.43,Intermediate,28.46,Intermediate,20.03,Beginner,80.93,Advanced
